video_id,channel_id,published_date,category_name,duration,tags,description,on_trending_date,off_trending_date,on_rank,off_rank,on_views,off_views,on_likes,off_likes,on_dislikes,off_dislikes,on_comments,off_comments,on_channel_subscribers,off_channel_subscribers,on_channel_total_views,off_channel_total_views,on_channel_total_videos,off_channel_total_videos
VB8G9,CHkxbPw,2021-05-01,Entertainment,PT12M33S,홍진경|홍진경채널|홍진경 유튜브|공부왕찐천재 홍진경|공부왕찐천재|홍진경 공부|홍진경 공부준비|홍진경 스터디윗미|홍진경 라이브|홍진경 스터디|모델|모델 홍진경|홍진경 공부법|공부할때|홍진경 떡상|홍진경 딸|홍진경 집공개|스터디윗미|hong jin kyung|남창희|홍진경 레전드|홍진경 무한도전|홍진경 레전드짤|홍진경 웃긴짤|홍진경 예능|웃긴 방송|제주도|제주도 수학여행|수학여행|공부여행|1박2일|홍진경 여행|제주여행|제주 여행|영어공부|가벼운학습지|려원 학습지|학습지|영어학습지|제주도 1박2일|mc그리|김동현|조세호|박미선|이봉원|미선임파서블|더김치|이봉원 짬뽕집|카이스트|홍진경 카이스트|홍진경 서울대|제주맛집|김포공항|그리 신곡|홍진경 웃긴 영상|홍진경 웃음모음|변진섭|황제성|싸이코러스|유퀴즈|홍진경 시험|시험공부|홍진경 제주도|홍진경 공부여행|공부할때 듣는,여러분~저는 여행도 허투루 하지 않는답니다틈틈이 공부해야죠 ^^앞으로 펼쳐질 제주 공부여행기대해 주세요 ^^#홍진경 #공부왕찐천재 #공부준비─────────────*본 영상은 유료광고를 포함하고 있습니다,2021-05-02,2021-05-03,16,32,358338,506060,10183,12054,70,106,1156,1293,395000,403000,20356621,21194172,31,31
VB92h,CHzCedB,2021-05-28,Music,PT1M1S,EXO|엑소|엑소케이|엑소엠|exok|exom,"EXO Arcade Season 2 will be aired on May 31, 8PM (KST)!EXO-L, wait a little longer! 게임에 진심인 EXO와 함께하는 '엑소오락관 시즌2'5..월...31...일... 오후...8시... D-3 .... 📝 📺 EP 1 :  2021.05.31. 8PM (KST) 📺 EP 2 :  2021.06.02. 8PM (KST) 📺 EP 3 :  2021.06.04. 8PM (KST) 📺 EP 4 :  2021.06.06. 8PM (KST) 📺 EP 5 :  2021.06.08. 8PM (KST)📺 EP 6 :  2021.06.10. 8PM (KST) EXO Officialhttp://www.youtube.com/weareoneEXOhttp://www.facebook.com/weareoneEXOhttp://www.instagram.com/weareone.exohttps://www.vlive.tv/channel/F94BDhttp://twitter.com/weareoneEXO",2021-05-30,2021-05-30,40,40,1275542,1275542,330477,330477,373,373,40065,40065,7670000,7670000,177644179,177644179,173,173
VBBQB,CHuTKrQ,2021-06-29,Entertainment,PT3M26S,바라던바다|알바생바다씨|바다씨|바다씨CAM|직캠|알바생바다씨직캠|바다씨직캠|윤종신|이지아|이동욱|온유|김고은|이수현|로제|블랙핑크|바다|음악|노을|포항|바|Slow Dancing In A Burning Room|JONGSHIN YOON|E JIAH|LEE DONGWOOK|ONEW|KIM GO EUN|Lee Suhyun|ROS&Eacute;|BLACKPINK|rose,로제의 Slow Dancing In A Burning Room♬ 합주 (FULL ver.)바다씨 직캠으로 공개할게요!매주 화요일 밤 9시'바라던 바다'🌊#로제 #ROSÉ #바라던바다 #수현 #윤종신 #온유 #알바생바다씨 #바다씨CAM알바생 바다씨 인스타그램https://instagram.com/barda_sea,2021-07-01,2021-07-02,19,32,392491,582919,43510,54653,115,180,2738,3110,43300,50600,1698427,3526579,40,42
VBC2m,CHy2WX3,2021-05-13,Howto & Style,PT3M48S,어향가지|가지반찬|가지요리|이 남자의 가지요리|굴소스 볶음|두반장|가지볶음|가지덮밥|다진 돼지고기 요리|어향소스|가지무침,"가지도 이렇게 맛있을 수 있다는 것에 놀라게 되는 요리한 번 먹으면 며칠간 계속 먹게 되는 가지 요리바로 '어향가지'입니다세상 모든 맛이 들어있는 듯한 어향소스와부드럽고 달콤한 가지여기에 돼지고기의 담백함까지정말 무엇 하나 빠지는 게 없습니다가지를 싫어하는 사람도 가지와 사랑에 빠져들게 하는 요리아직 안 먹은 사람은 있어도 한 번만 먹은 사람은 없는 가지요리+++ 계량 : 밥스푼, 티스푼, 계량컵(200ml)+++가지 2개돼지고기 다짐육 200g피망 1개양파 1/2개다진 마늘 1스푼(20g)다진 생강 1/2작은스푼(2g)식용유 4스푼고추기름 3스푼참기름 1/2스푼물 100ml녹말물[어향소스]두반장 1스푼(15g)굴소스 2스푼(30g)양조간장(또는 진간장) 1스푼(10g)맛술(미림) 2스푼(20g)설탕 1스푼(13g)식초 2스푼(20g)후추가루 3꼬집물 200ml#가지요리#어향가지#두반장#굴소스#가지볶음",2021-05-15,2021-05-16,33,45,428565,587191,10322,12943,144,197,333,401,854000,857000,143014910,143575763,482,483
VBCBK,CH4DnB5,2021-05-22,People & Blogs,PT13M29S,,인스타 - o1o211#산범 #공혁준 #나루 #유진 #머니게임,2021-05-24,2021-05-27,3,44,1342074,1802974,21340,24934,535,709,2858,3351,460000,468000,129078566,133483056,218,219
VBClF,CHiBr0b,2021-06-09,Entertainment,PT2M44S,MBC|라디오스타|김국진|김구라|유세윤|안영미|김보연|김응수|차지연|이호철|선공개|노안|노안 썰|노안 배틀,★★★More clips are available★★★iMBChttp://www.imbc.com/broad/tv/ent/goldfish/vod/WAVVEhttps://www.wavve.com/player/vod?programid=M_1000794100000100000&page=1,2021-06-11,2021-06-12,15,36,324221,387907,1706,1998,61,66,191,214,8300000,8300000,13895364953,13902297334,84271,84288
VBGoc,CH2E-9A,2021-06-22,Entertainment,PT5M9S,피자먹방|천뚱|홍현희,앞으로 걸어서 절대 안가꼬야차타고 붕 가꼬야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ#피자,2021-06-24,2021-06-24,20,20,221869,221869,4328,4328,89,89,349,349,469000,469000,44872755,44872755,85,85
VBKqP,CHkuA_g,2021-04-17,Pets & Animals,PT10M49S,고양이|크집사|야옹섬라디오|claire luvcat|kittisaurus|아기 고양이|고양이 일상|고양이 정원|크언니|브이로그|Vlog|야옹섬|요리|쿠킹|먹방|mukbang|cooking|일상|티티|xlxl|신부전|동물병원|김재영|김재영원장,"#병원 #건강검진 #티티야힘내오늘은 티티가 무서워하는 병원에 다녀왔어요.티티의 신장이 걱정되었는데 결과가 좋지 않아서, 2주 뒤에 다시 검사를 받아보아야 한다고 해요.티티가 물도 많이 마시고, 건강해 질 수 있도록 더 잘 케어해 줘야겠어요.* 똥고양이 해적단 가입🏴‍☠️https://bit.ly/3gv2piU* 야옹섬 크집사의 레시피👩‍🍳 https://han.gl/kQSad* 크집사 인스타그램 📷https://www.instagram.com/claire_luvcat* 파트너십 문의 📭we@luvcat.com",2021-04-19,2021-04-20,40,49,897734,1054543,34909,37722,250,296,1963,2063,1120000,1120000,129544764,130010794,220,220
VBKzd,CHAySce,2021-04-04,News & Politics,PT24M50S,KBS|뉴스|경제|머니올라|금융|주가|주식|ETF|머니|개미|투자|증권|삼프로|국민연금|종부세|부동산|코스닥|코스피|개인|투자자|기업|외국인|문재인|바이든|존리|주식개미|주식폭락|가계대출|폭락장|주식붕괴|예수금|FDA|코로나19|SK하이닉스|삼성전자|코로나|ESG|KBS경제|주식포트폴리오|포트폴리오,"[영상 촬영 날짜: 4월 2일]00:01 Q. 이번 주에 챙겨야 할 일정들은?02:46 Q. 삼성전자 등 반도체 실적, 예상보다 좋을 것으로 보는 이유는?06:43 Q. 삼성전자 주가 상승하면 2분기 시장 분위기 같이 뜰까?08:21 Q. 이번 주에 좋아질 것으로 예상되는 섹터는?11:03 Q. 성장주가 좋아지면 가치주는 밀리는 상황이 될까?13:28 Q. 2분기 포트폴리오 구성, 연초와 어떻게 달라질까?16:00 Q. 주식 액면분할, 왜 호재로 작용하는가?19:14 Q. ‘액면분할=호재’이면 많은 기업이 시행 할 텐데 왜 안할까?20:44 Q. (염블리의 팁)‘분할매수’ 권장하는데 ‘물타기’와 어떤 차이?머니올라는 다양하고 흥미있는 경제 이슈로 여러분들을 찾아뵙고 있습니다.출연을 원하는 전문가가 있으면 댓글로 남겨주시길 바랍니다. 구독과 좋아요 부탁드립니다~:-)#머니올라 #KBS #MONEY #경제 #금융 #부동산 #돈 #주식 #주가 #펀드#국제 #해외 #국내 #중국 #미국 #무역",2021-04-06,2021-04-07,20,35,269102,307308,9578,10095,181,199,350,362,218000,219000,20001661,20097041,196,197
VBLnM,CHONPqk,2021-07-13,People & Blogs,PT1M36S,,쀼잉--🎵Music provided by 브금대통령🎵Track : 어린이날 일기 - https://youtu.be/MDNal-LrTEU,2021-07-16,2021-07-17,45,48,495307,581683,9045,10186,72,85,985,1092,53200,56300,3462838,3717594,16,17
VBM7a,CHuZu8N,2021-06-30,People & Blogs,PT19M28S,믹순|스킨케어|꾸안꾸 메이크업|꾸안꾸|여름 메이크업|바캉스|호캉스|피부커버|화장|먹방|일상|유인짱|유인|청순|메이크업|눈화장|올리브영,"*이번 영상은 믹순 유료광고가 포함되어있습니다*✨영상 속 소개된 믹순 콩 에센스와 미니어성초 에센스 특별한 가격으로 구입하러 가기✨ 👉🏻 https://bit.ly/3hebXjb /위 상의 티셔츠는 금요일 횰릭에 업뎃 예정입니다:)💜insta : https://www.instagram.com/hyojinc_/      (조효진의 더 많고 빠른 소식듣기!)💜영상 속 옷들 : http://hyolic.com/💜business&문의 : chohyojin@1994company.com     ‼️전속회사 없습니다. 여기로 문의주세요‼️/Products Used :믹순 콩 에센스MIXSOONBean Essence50ml  35,000믹순 어성초 에센스MIXSSONEoseongcho Water Essence100ml  32,000컬러그램 로지 톤업 크림COLORGRAMRosy Tone Up Cream18,000라네즈 네오 글로우 파운데이션 17호LANEIGENeo Glow Foundation #17에뛰드 그림자 쉐딩 #1ETUDEContour Powder #1 재창조18,000웨이크메이크 내추럴 하드브로우 펜슬 3호 내추럴브라운WAKEMAKENatural Hard Brow Pencil #03 Natural Brown13,000베네피트 프리사이즐리 마이브로우 펜슬 #3BENEFITPrecisely Mybrow Pencil #338,000클리오 컬러브로우 래커 2호 라이트 브라운CLIOKill Brow Color Brow Laquer #02 Light Brown7,500웨이크메이크 소프트 블러링 아이팔레트 생기블러링WAKEMAKESoft Blurring Color Line-up #Lively Blurring32,000아이빔 더블 롱 마스카라IBIMDouble Long Mascara16,000에뛰드 픽싱틴트 5호 미드나잇 모브ETUDEFixing Tint #05 Midnight Mauve12,000에뛰드 픽싱틴트 1호 아날로그 로즈ETUDEFixing Tint #01 Analog Rose12,000에스쁘아 리얼 아이 팔레트 모브 미ESPOIRReal Eye Palette #04 Mauve Me32,000Tools Used : 투쿨포스쿨 아트클래스 아티스트 블렌더TOO COOL FOR SCHOOLArtclass Artist Blender6,000미네스트 307 컨실러 브러쉬MINESTConcealer Brush 30719,000필리밀리 포인트 아이섀도우 브러시 디파이닝 511FILLIMILLIPoint Eyeshadow Brush Defining #5114,000",2021-07-02,2021-07-02,42,42,415974,415974,9607,9607,145,145,545,545,1640000,1640000,167158783,167158783,318,318
VBNVV,CHfWZns,2021-06-25,Entertainment,PT2M53S,다큐플렉스|다큐멘터리|MBC|전원일기 2021|선공개|정애란|고두심|조하나|박은수|김혜정|남성진|예수정|최불암|김혜자|김용건|유인촌|박순천|임호|김수미|전원일기,★★★More clips are available★★★iMBChttp://www.imbc.com/broad/tv/culture/docuflex/WAVVEhttps://www.wavve.com/player/vod?programid=M_T40868G&page=1,2021-06-27,2021-06-28,20,37,270758,372678,1580,2026,63,84,110,132,446000,447000,299677340,300132552,24908,24917
VBOM1,CHx_kYu,2021-04-12,People & Blogs,PT24S,브레이브걸스|Brave Girls|민영|은지|유나|유정|minyoung|eunji|yuna|yujeong|롤린|Rollin'|운전만해|We Ride|KPOP|꼬북좌|단발좌|메보좌|왕눈좌|피어레스|브걸|브브걸|쁘걸,[ OFFICIAL SITE]▶Official Twitter : https://twitter.com/BRAVEGIRLS▶Official Facebook : https://www.facebook.com/bravegirls.official/▶Official Instagram :https://www.instagram.com/bravegirls.official/▶Official Weibo : https://weibo.com/officialbravegirls#브레이브걸스 #BraveGirls#롤린 #Rollin#피어레스 #FEARLESS,2021-04-14,2021-04-14,20,20,97641,97641,0,0,0,0,2052,2052,39600,39600,55316,55316,2,2
VBQ6V,CHWstBK,2021-04-04,Entertainment,PT30M16S,브레이브걸스|bravegirls|쁘걸|김민영|남유정|홍은지|이유나|minyoung|yujeong|eunji|yuna|yoojung|롤린|Rollin'|메보좌|꼬북좌|왕눈좌|단발좌|피어레스|FEARLESS|민영|유정|은지|유나|브레이브걸스인터뷰|용감한형제|이효리|태연|영지|leehyori|taeyeon|youngji|idol|kpop|스포츠서울|SPORTSSEOUL,"지난 한달간 브레이브걸스가 마주한 현실은 영화보다 더 영화적이다. 2월말 해체를 논의했는데, 이렇게 누구보다 화려한 전성기를 맞을지 누가 알았을까. 그룹 브레이브걸스가 ‘롤린’으로 역주행하며 가요계를 휩쓸고 있다.브레이브걸스는 프로듀서 용감한형제가 대표로 있는 브레이브엔터테인먼트 소속 그룹으로 데뷔했으나 3년 5개월의 긴 무명시간을 보냈다. 그러나 노력이 빛을 본걸까. 한순간 가요계에 돌풍을 일으키며 정상을 차지한 브레이브걸스. 멤버들 역시 ‘인생역전’이라고 표현할 정도로 지금의 상황이 믿기지 않는 눈치였다.영상 | 조윤형기자 yoonz@sportsseoul.com#브레이브걸스_BraveGirls #브레이브걸스_인터뷰 #롤린_Rollin▣  스포츠서울 홈페이지◇ http://www.sportsseoul.com▣ 연관채널안내◇ NAVER TV(Entertainment) : https://tv.naver.com/sportsseoul◇ NAVER TV(Sports) : https://tv.naver.com/sportsseoul2◇ V LIVE : https://channels.vlive.tv/B5F927/home◇ Facebook : https://www.facebook.com/sportsseoul1◇ Instagram : https://www.instagram.com/sportsseoul/▣ 영상 사용 및 제보 관련 문의 (스포츠서울 영상제작부)◇ ssportsf@gmail.com",2021-04-07,2021-04-08,24,48,162067,190361,4698,4917,25,32,1293,1364,179000,179000,36812189,36866996,3665,3666
VBQET,CHhb4gt,2021-05-30,Sports,PT8M20S,첼시|맨시티|맨체스터시티|김진짜|챔스결승|투헬|토마스 투헬|펩|펩 과르디올라|캉테|은골로 캉테|김진짜 챔스결승|김진짜 첼시 맨시티|ucl|ucl 결승|챔피언스리그 결승,"[왓챠]에서 '김진짜'를 검색하시면 '확장판' 영상들을 만나 보실 수 있습니다.토마스 투헬 감독이 첼시를 챔피언스리그 우승으로 이끌었습니다. 투헬 감독이 천재인 이유, 그리고 펩 과르디올라 감독의 패착을 분석해보았습니다. 쿠키영상 절대 놓치지 마세요!*골드 멤버십에 가입해주신 분들에게는 새 영상을 10분 먼저 보여드립니다.혜택확인: https://www.youtube.com/channel/UChb4gtsgSdwMDktdLukfrfw/join감사합니다.찐스타그램:https://www.instagram.com/kimjinjja10/?hl=ko비즈니스 문의:qksdidhkdwk@naver.com",2021-06-01,2021-06-02,10,27,287741,331637,5078,5418,102,115,636,670,351000,352000,59029211,59242412,138,138
VBSBm,CH0VR2v,2021-05-07,Entertainment,PT11M6S,요리|레시피|육식|고기|육식맨|고기요리|YOOXICMAN|짜장면|자장면|짜장|고기짜장|고기폭탄|Jajangmyeon|炸醬麵|韓式炸醬麵,"※ 오늘 영상에 등장하는 모든 식재료, 조리도구, 업장, TV프로그램, 브랜드, 서비스에 광고, 협찬 없습니다.※ 제목을 지어주신 황인우 님께 감사드립니다.[육식맨의 고기 짜장](이연복 셰프님의 간짜장 레시피의 응용)돼지고기 1.5kg차돌박이 250g양파 4개애호박 1개대파 연두색~흰줄기 1대다진생강 1스푼식용유 1컵춘장 150g굴소스 1/2스푼치킨파우더 1/2스푼설탕 1스푼중화면[[[자주 받는 질문들]]][육식맨 YOOXICMAN 채널 소개]고기 없이 못 사는 육식주의자를 위한 본격 육식 요리 채널!!!평범한 아파트 가정집에서 평범하지 않은 고기 요리에 도전합니다!메뉴 선정, 식자재 준비, 요리, 촬영, 영상 편집 모든 과정을 혼자서 직접 합니다.유튜브, 인스타그램 외 소셜 미디어를 운영하지 않으며특히 페이스북과 인스타그램의 제 영상은 100% 무단도용(불펌)이니 신고와 제보를 부탁드립니다.인스타그램 : https://www.instagram.com/yooxicman/비즈니스 메일 : cloudpark09@gmail.com[육식맨 영상의 4대 목표]◇ 참 보기 좋고 먹어 보고 싶은 육식◇ 군더더기, 시간 낭비 없이 깔끔한 영상 편집◇ 흥미로우면서 진실한 리액션◇ 꽤 도움이 되며 부담스럽지 않은 요리 정보[수비드란?]https://cafe.naver.com/svcook/130[수비드 머신]현재 메인으로 쓰고 있는 유튜버 승우아빠님이 선물해주신 고급형 기종 https://bit.ly/3nHDX1g제 생각에 수비드는 아직 보급이 덜 돼서 가격만큼 성능이 아닌 거 같습니다. 시작은 저렴한 거로 쓰다가 아쉬움을 느끼시면 업그레이드하시길 추천해 드릴게요.가정용 가성비 기종 https://bit.ly/3icLCSB업소용 대형 기종 https://bit.ly/36O2kEb수조 대신 곰솥 냄비, 철제 양동이 쓰셔도 됩니다.[수비드 온도와 시간은 어떻게 정하나요?]수비드 시간표 검색하면 진짜 많이 나옵니다.https://bit.ly/2WPapU7거기에 해외 유튜브 영상들 검색한 뒤 참고해서 정하고 있습니다.[수비드 음식 보관]수비드는 조리가 된 음식이기 때문에 며칠 먹을 수 있냐는 질문은 그냥 프라이팬 구워 먹다가 남은 거를 냉장고에 며칠 둘 거냐는 질문하고 같은 격입니다. 저는 고기 남으면 냉장고 3, 4일은 두었다가 데워먹는 경우가 종종 있는데 수비드도 같습니다.다만! 수비드라는 조리방식 자체가 레스토랑에서 육류 식자재를 효율적으로 관리하고 균일한 음식을 빠르고 간편하게 내기 위해 '보관 용이'를 핵심 가치로 개발된 측면이 있거든요.대량 수비드 (큰 덩어리 고기) → 1인분으로 잘라서 소분 진공 포장 → 냉동 보관 → 그날 팔릴 개수 예측해서 '수비드 해동(재가열)' → 남으면 다시 냉동이렇게 수비드는 진공 냉장/냉동 보관 후 수비드 재가열하는 것이 상당히 자유로운 조리법이에요. 한 달 치 고기를 한 번에 조리하는 것도 가능하겠죠. 레스토랑에서 한 달 전 얼린 고기를 낸다고 생각하면 별로이긴 하지만, 수비드는 그래도 되는 조리법이긴 합니다.먹다가 남은 것을 재포장하는 경우는 재가열 해당이 아닙니다. 공기 노출도 많았고 침 같은 것도 묻었을 테니까 그냥 냉장고에 두고 3, 4일 안에 드시면 됩니다. 전자레인지 데우면 여전히 부드럽고 맛있습니다.수비드 재가열 전문적인 블로그 : https://bit.ly/2tp4fgR[수비드를 밥솥으로 할 수 있나요?]밥솥 기종에 따라서, 온도에 따라서 성공 사례가 있는 건 알고 있지만수비드 기계와 같은 물의 순환 기능이 없고 섬세한 온도 조절도 불가능 하므로 원칙적으로는 되지 않습니다.특히 집마다 밥솥이 브랜드, 연식, 기능이 너무 달라서 수만 명이 시청하실 영상을 제작하는 것은 불가능합니다.[수비드 전기세]2~3시간 짧은 수비드는 전기세 체감하기 어렵고12~24시간 장시간 수비드는 1회 500~1,000원은 나오는 거 같습니다.[진공포장기]https://bit.ly/2CGcQRi백만 원 넘는 순간 진공포장기(챔버형)를 사용하지 않는 이상, 20만 원짜리 푸드세이버나 3만 원짜리 중소기업 제품이나 진공포장의 품질은 비슷하다고 생각합니다.수비드를 자주 해도 의외로 진공포장보다는 지퍼락을 많이 사용합니다.[각종 제품 링크]구리 팬 : https://bit.ly/3886R1o (10인치 모델)스테인리스 팬 : https://bit.ly/386rtqW무쇠 팬 : https://bit.ly/2waryN3오븐 : LG 광파오븐 32L 모델인덕션 : https://bit.ly/2XLzQ89부처 나이프 : https://bit.ly/2AUjlzg셰프 나이프 세트 : https://bit.ly/38QkvrJ (비매품이라 정보만 링크)엔드그레인 도마 : https://bit.ly/3b4vfq0 (블랙우드 L사이즈)대형 대나무 도마 : https://bit.ly/2Pw2ffk가위 집게 : https://bit.ly/2XmfKlT앞치마 : https://bit.ly/2zDSXZT온도계 : http://t.ly/MMEk[오븐 고르기]혹시 주방이나 설비가 허락되시는 분은 가능한 컨벡션 오븐, 가스 오븐, 대형 기종을 사세요. 오븐 요리는 배우면 배울수록 재미를 붙이면 붙일수록 큰 요리를 하게 됩니다.[오븐 요리를 에어프라이어로 할 수 있나요?]- 기종마다 크기와 디자인이 제각각이고- 열 파이프와 음식의 거리가 가까워서- 오븐과 달리 강한 열풍이 돌기 때문에오븐 레시피와 같을 수 없습니다. 하지만 심부 온도계가 있다면 원리상으로는 충분히 가능합니다.[오븐 트레이, 망]https://bit.ly/30Q5eEN오븐 트레이는 이케아가 답입니다. 최고의 가성비와 사이즈 구성. 인터넷 배송도 됩니다. 트레이가 작아서 아쉬울 때는 있어도 트레이가 커서 슬픈 적은 없습니다. 무조건 오븐에 들어가는 최대 크기로 사세요.음식을 트레이에서 띄워놓는 그릴은 '밧드망', '식힘망'을 검색하면 나옵니다. 고열을 견뎌야하니 반드시 스테인리스 100%인지 확인하고 구입하세요.지금까지 쓰면서 가장 만족한 랙 https://bit.ly/2M1Koha[일반 코팅팬이 아닌 고급팬을 쓰는 이유]열전도, 열보관이 좋아서 음식 맛의 원천이 되는 시어링, 마이야르반응, 캐러멜라이제이션이 빠르고 효과적으로 됩니다.[구리팬, 스테인리스팬 설거지]베이킹 소다니 과탄산수소니 정말 많이 시도해봤는데, 결국 굴복하고 전용세제 '아스토니쉬 찌든때 클리너 프로실버'를 사용하고 있습니다. 구리의 핑크색은 '와이만 쿠퍼 크림' 사용합니다.[시어잘(SEARZALL)]시어잘은 엄밀히 말하면 그릇 모양 화구만을 말합니다.시어잘, 용접용 토치, 미국 규격 프로판 가스 3가지가 전부 있어야 합니다.시어잘 공식수입처 http://t.ly/c23b프로판 가스를 구하기 어려울 경우 대안 https://cafe.naver.com/svcook/14073[영상 찍고 남은 고기 어떻게 하나요?]잔반 처리하듯 며칠에 걸쳐서 전자레인지 돌려 먹습니다.저는 고기는 일단 푸짐해보여야 보여야한다고 생각해서 4인분 이상 만듭니다.[촬영]메인 카메라 + 렌즈 : Sony α7S III (A7S3) + Sony FE 20mm F1.8 G서브 카메라 + 렌즈 : Sony α7C (A7C) + Sony FE 28-60mm F4-5.6캠코더(가끔 씁니다) : Sony FDR-AX40마이크(나레이션) : JTUM-200레코더(조리,시식) : Sony ICD-TX650편집 : 프리미어프로[BGM]유튜브 저작권 해결되는 구독형 유료 음원 사이트 Artlisthttps://artlist.io/Yooxicman-1309311이 URL을 통해 구독하시면 2개월 추가 혜택을 받으실 수 있고, 저도 2개월 구독 연장 혜택을 받습니다.",2021-05-09,2021-05-10,40,49,461301,560513,7516,8327,156,187,1458,1568,652000,652000,94094934,94383615,90,90
VBSBm,CHF4Wxd,2021-07-09,News & Politics,PT1M56S,MBC|MBC뉴스|뉴스데스크|newsdesk|뉴스투데이|newstoday|8시뉴스|아침뉴스|뉴스|정오뉴스|news|경사로 사고|어린이집 교사|지역M,전남 순천의 한 어린이집에서 원생을 마중 나온 선생님이 경사로에 밀린 학부모의 차량에 치여 숨지는 안타까운 사고가 있었습니다.선생님은 다급한 상황에서도 끝까지 차량을 잡고 아이를 보호했던 것으로 알려졌습니다.https://imnews.imbc.com/replay/2021/nwdesk/article/6285153_34936.html#경사로사고 #어린이집교사 #지역M,2021-07-11,2021-07-14,3,32,2868023,3729772,19154,22868,625,765,16067,17655,1430000,1440000,3130819202,3151554338,112154,112456
VBScD,CHnx4Fi,2021-05-29,Entertainment,PT9M9S,백종원의 골목식당|백종원|골목식당|백종원의 골목식당 다시보기|골목식당 하이라이트|Backstreet|김성주|금새록|금새록 새MC|금새록 첫촬영|금새록 먹방|금새록 평가|부천|부천카센타골목|부천카센터골목|치즈파탓|돈가스|경양식 돈가스|반반돈가스|백종원 돈가스|돈가스 먹방|돈가스 평가|포방터|골목식당 포방터 사장님|연땡|연돈|연돈 돈가스|돈가스 포방터,⭐️골목식당이 발굴한 No.1 돈가스 명인⭐️볼 때마다 나 홀로 내적 친밀감 MAX 찍는..#골목식당 #부천카센터골목 #반반돈가스 #연땡 #포방터 #포방터사장님 #백종원 #김성주 #금새록☞ 매주 수요일 오후 10:35,2021-06-01,2021-06-02,22,30,708035,966193,3483,4690,151,191,1158,1486,2050000,2050000,1498707612,1499750520,3323,3324
VBTDE,CHOHM2N,2021-06-05,Entertainment,PT3M35S,아는 형님|형님|형님 학교|에스파|카리나|지젤|윈터|닝닝|BlackMamba|Next Level|블랙맘바|aespa|아는형님선공개|아는형님283회선공개|아형283회선공개|예능|슈퍼주니어|버즈|Knowing bros|Knowing brother|Karina|Giselle|Winter|Ningning|min kyung hoon|kim hee chul|kang ho dong|seo jang hoon|lee soo geun|kim young chul|lee sang min|buzz,[선공개] '블랙 맘바' 잡고 'Next Level'로 가려는 에스파의 강렬한 무대🐍#아는형님 #aespa #BlackMamba오늘 밤 9시 〈아는 형님〉에서 만나요!,2021-06-06,2021-06-08,10,43,1251210,1803106,53277,69774,662,908,1469,1720,1700000,1710000,617845127,625344874,1063,1063
VBVCd,CHGrfaH,2021-07-01,Entertainment,PT11M19S,준우,카톡컨텐츠 사연은 생방에서 즉석으로 채택하고 있으며신청하시는분들은 업로드에 동의하시는분들만 신청주세요나중에 못지워여!!!!*준우 인스타=woojun_l(진행된 카톡아디랑 비번은 보관 안하고  방송끝나고 채팅방 나가드립니다!상대방 이름은 하기전에 제가 살짝 바꿉니다!),2021-07-03,2021-07-05,24,47,446968,625168,9429,11436,173,338,1599,1807,711000,712000,152499073,153200921,144,144
VBVHB,CHriPmQ,2021-03-27,Entertainment,PT24M48S,,"한번 도와주세요... https://goo.gl/iNlwTD#투명인간 #은형법 #한의학 #양의학 #수의학 #민간요법 #장의사 #장의사우마 #우마 # 우마UMA #UMA #가면 #마스크 #병맛 #꿀잼 #허준 #동의보감구독하기! SUBSCRIBE!!  https://goo.gl/iNlwTD※ 세상에나 마상에나 시리즈 ▶ https://goo.gl/rE7zqB※ 몰래카메라 시리즈 ▶ https://goo.gl/8tCDYF※ 핫소스 시리즈 ▶https://goo.gl/hQJqI3※ 낚시, 요리 시리즈 https://goo.gl/ghwjDZ[인스타그램] www.instagram.com/uma.u.m.a/ ＊공유는 가능하지만 불펌은 하지 마세요.-------------------------------------------------------------------------------------------------------------Track : 서리꽃 (Frost flower)Composer : 눈솔Watch : https://youtu.be/8Erdny-jZW4​-------------------------------------------------------------------------------------------------------------",2021-03-29,2021-04-01,4,40,599075,808112,19047,21598,415,549,6278,6907,893000,893000,196496420,197186655,132,132
VBWqE,CHUyfkq,2021-06-11,Entertainment,PT3M31S,문명특급|스브스뉴스|재재|SBS|문특|mmtg|애프터스쿨|뱅|디바|컴눈명|컴눈명스페셜|bang|afterschool|가희|박가희|kahi|정아|김정아|junga|주연|이주연|juyeon|leejuyeon|bekah|베카|레이나|raina|jaejae|컴백|재컴백|무대|무대영상|kpop|choreography|performance|stage|diva,애프터스쿨(After School) - '뱅(Bang)!' Full ver.#애프터스쿨 #뱅 #컴눈명스페셜,2021-06-13,2021-06-18,1,30,3619163,6330308,155973,221484,1282,2564,17532,23612,1400000,1430000,254955361,276202442,207,215
